,full_name,company,selling_price,year,km_driven,owner_type,fuel_type,transmission_type
4532,Ford Ecosport 1.5,Ford,550000,2014,86000,First Owner,Diesel,Manual
4533,Maruti Swift VXI,Maruti,350000,2011,32000,First Owner,Petrol,Manual
4534,Toyota Innova 2.5,Toyota,925000,2015,69000,First Owner,Diesel,Manual
4535,Fiat Punto EVO,Fiat,450000,2017,15000,First Owner,Petrol,Manual
4536,Hyundai i20 Sportz,Hyundai,445000,2013,14258,First Owner,Petrol,Manual
4538,Volkswagen Vento 1.5,Volkswagen,484999,2013,83469,First Owner,Diesel,Manual
4542,Maruti Swift VXI,Maruti,587000,2018,20000,First Owner,Petrol,Manual
4543,Maruti Celerio ZXI,Maruti,450000,2015,80000,First Owner,Petrol,Manual
4544,Toyota Innova 2.5,Toyota,1250000,2016,76000,First Owner,Diesel,Manual
4545,Maruti Swift VDI,Maruti,628000,2017,45000,First Owner,Diesel,Manual
4546,Renault KWID Climber,Renault,395000,2019,10695,First Owner,Petrol,Manual
4547,Maruti Vitara Brezza,Maruti,810000,2018,35000,First Owner,Diesel,Manual
4548,Toyota Innova 2.5,Toyota,675000,2010,94000,First Owner,Diesel,Manual
4550,Mahindra Bolero Power,Mahindra,670000,2017,50000,First Owner,Diesel,Manual
4551,Skoda Rapid 1.6,Skoda,325000,2012,67000,First Owner,Diesel,Manual
4552,Audi Q5 2.0,Audi,1300000,2011,70000,First Owner,Diesel,Automatic
4553,Maruti Ciaz VDi,Maruti,675000,2015,53698,First Owner,Diesel,Manual
4554,Toyota Innova 2.5,Toyota,1135000,2015,70000,First Owner,Diesel,Manual
4555,Maruti Swift Dzire,Maruti,420000,2013,154000,First Owner,Petrol,Manual
4556,Toyota Etios Liva,Toyota,475000,2016,17000,First Owner,Petrol,Manual
4558,Maruti Eeco CNG,Maruti,395000,2014,53000,First Owner,CNG,Manual
4559,Mitsubishi Pajero Sport,Mitsubishi,909000,2013,100000,First Owner,Diesel,Manual
4561,Hyundai i20 Asta,Hyundai,585000,2015,44000,First Owner,Petrol,Manual
4562,Nissan Micra Active,Nissan,365000,2015,57000,First Owner,Petrol,Manual
4563,Mahindra Bolero 2011-2019,Mahindra,480000,2014,80000,First Owner,Diesel,Manual
4564,Hyundai Verna CRDi,Hyundai,885000,2018,35522,First Owner,Diesel,Manual
4565,Honda City i,Honda,745000,2014,65000,First Owner,Diesel,Manual
4566,Maruti Wagon R,Maruti,450000,2017,24000,First Owner,Petrol,Manual
4567,Hyundai Verna 1.4,Hyundai,765000,2017,46000,First Owner,Diesel,Manual
4568,Hyundai i20 Active,Hyundai,790000,2018,54695,First Owner,Diesel,Manual
4569,Skoda Superb Elegance,Skoda,345000,2010,55000,First Owner,Petrol,Automatic
4570,Maruti Baleno Alpha,Maruti,790000,2018,38340,First Owner,Diesel,Manual
4571,Honda Brio 1.2,Honda,409999,2014,65500,First Owner,Petrol,Automatic
4573,Maruti Ertiga VXI,Maruti,615000,2014,69000,First Owner,CNG,Manual
4574,Hyundai i10 Magna,Hyundai,260000,2012,66500,First Owner,Petrol,Manual
4575,Honda City i,Honda,685000,2016,27266,First Owner,Petrol,Manual
4576,Jeep Compass 1.4,Jeep,1450000,2017,25216,First Owner,Petrol,Automatic
4577,Hyundai i10 Sportz,Hyundai,428000,2016,50000,First Owner,Petrol,Manual
4578,Mahindra KUV 100,Mahindra,400000,2016,21000,First Owner,Petrol,Manual
4579,Mercedes-Benz GL-Class 350,Mercedes-Benz,4400000,2015,53000,First Owner,Diesel,Automatic
4580,Maruti Ciaz S,Maruti,750000,2017,68000,First Owner,Diesel,Manual
4582,Honda Jazz 1.2,Honda,725000,2017,27826,First Owner,Petrol,Automatic
4583,Honda WR-V i-VTEC,Honda,795000,2018,19000,First Owner,Petrol,Manual
4584,Maruti Swift 1.3,Maruti,195000,2008,83000,First Owner,Petrol,Manual
4585,Toyota Innova 2.5,Toyota,994999,2014,86606,First Owner,Diesel,Manual
4586,Skoda Superb Elegance,Skoda,675000,2011,83000,First Owner,Diesel,Automatic
4587,Maruti SX4 ZXI,Maruti,275000,2010,76000,First Owner,Petrol,Manual
4588,Maruti Swift VXI,Maruti,440000,2014,35734,First Owner,Petrol,Manual
4589,Honda Jazz 1.2,Honda,575000,2015,50000,First Owner,Petrol,Automatic
4590,Maruti Alto K10,Maruti,250000,2011,80000,First Owner,Petrol,Manual
4591,Hyundai i20 2015-2017,Hyundai,650000,2016,57000,First Owner,Diesel,Manual
4592,Toyota Innova 2.5,Toyota,850000,2014,30000,First Owner,Diesel,Manual
4593,Maruti Swift Dzire,Maruti,500000,2013,90000,First Owner,Diesel,Manual
4594,Hyundai Grand i10,Hyundai,480000,2018,28000,First Owner,Petrol,Manual
4595,Maruti Wagon R,Maruti,365000,2016,49000,First Owner,CNG,Manual
4596,BMW 5 Series,BMW,3945000,2017,31000,First Owner,Diesel,Automatic
4597,Skoda Rapid 1.5,Skoda,550000,2016,90000,First Owner,Diesel,Automatic
4598,Hyundai i20 Magna,Hyundai,300000,2010,102000,First Owner,Diesel,Manual
4599,Maruti Swift VDI,Maruti,700000,2019,25000,First Owner,Diesel,Manual
4600,Mahindra Quanto C8,Mahindra,350000,2013,110000,First Owner,Diesel,Manual
4601,BMW 3 Series,BMW,825000,2010,97547,First Owner,Diesel,Automatic
4602,Honda City i,Honda,579000,2015,40864,First Owner,Petrol,Manual
4603,Toyota Etios Liva,Toyota,335000,2013,115000,First Owner,Petrol,Manual
4604,Maruti Wagon R,Maruti,200000,2012,51000,First Owner,Petrol,Manual
4605,Audi Q3 2.0,Audi,1800000,2014,25000,First Owner,Diesel,Automatic
4606,Maruti Wagon R,Maruti,455000,2018,36274,First Owner,CNG,Manual
4607,Volkswagen Polo GT,Volkswagen,565000,2014,39000,First Owner,Petrol,Automatic
4608,Maruti Wagon R,Maruti,275000,2011,50000,First Owner,Petrol,Manual
4609,Honda Jazz 1.2,Honda,500000,2016,15000,First Owner,Petrol,Manual
4610,Toyota Innova Crysta,Toyota,1750000,2017,60000,First Owner,Diesel,Manual
4611,Renault KWID 1.0,Renault,340000,2016,50700,First Owner,Petrol,Manual
4612,Tata Tiago 2019-2020,Tata,665000,2019,40000,First Owner,Diesel,Manual
4613,Datsun RediGO T,Datsun,235000,2016,79000,First Owner,Petrol,Manual
4614,Maruti Ertiga ZDI,Maruti,610000,2012,67235,First Owner,Diesel,Manual
4615,Maruti Swift Dzire,Maruti,521000,2014,115000,First Owner,Diesel,Manual
4616,Volkswagen Vento 1.2,Volkswagen,615000,2015,56000,First Owner,Petrol,Automatic
4617,Hyundai i20 Diesel,Hyundai,919999,2018,70000,First Owner,Diesel,Manual
4618,Toyota Innova Crysta,Toyota,1775000,2017,40004,First Owner,Diesel,Manual
4619,Ford Ecosport 1.5,Ford,525000,2013,69141,First Owner,Diesel,Manual
4621,Maruti Ciaz VXi,Maruti,645000,2016,35701,First Owner,Petrol,Manual
4622,Toyota Corolla Altis,Toyota,899000,2014,110000,First Owner,Petrol,Automatic
4624,BMW 5 Series,BMW,1000000,2010,65000,First Owner,Petrol,Automatic
4625,Honda City i,Honda,819999,2016,19000,First Owner,Petrol,Automatic
4626,Hyundai EON Era,Hyundai,325000,2016,72000,First Owner,Petrol,Manual
4628,Jeep Compass 1.4,Jeep,1325000,2018,9800,First Owner,Petrol,Manual
4629,Maruti Wagon R,Maruti,415000,2017,37000,First Owner,CNG,Manual
4630,Maruti Omni E,Maruti,160000,2010,25152,First Owner,Petrol,Manual
4631,Maruti Swift Dzire,Maruti,425000,2014,82500,First Owner,Diesel,Manual
4632,Maruti Ciaz AT,Maruti,740000,2016,33582,First Owner,Petrol,Automatic
4633,Skoda Octavia Elegance,Skoda,1110000,2015,41000,First Owner,Diesel,Automatic
4634,Maruti Ertiga ZXI,Maruti,825000,2017,24000,First Owner,Petrol,Manual
4635,Tata Nexon 1.5,Tata,725000,2018,60000,First Owner,Diesel,Manual
4636,Toyota Etios V,Toyota,450000,2014,51000,First Owner,Petrol,Manual
4637,BMW 7 Series,BMW,3495000,2014,33000,First Owner,Diesel,Automatic
4638,Honda City i,Honda,795000,2015,29675,First Owner,Petrol,Automatic
4640,Hyundai Xcent 1.2,Hyundai,475000,2015,38000,First Owner,Petrol,Manual
4642,Maruti Celerio VXI,Maruti,395000,2016,14286,First Owner,Petrol,Manual
4643,Hyundai i20 Magna,Hyundai,739000,2018,40000,First Owner,Diesel,Manual
4644,Maruti Swift Dzire,Maruti,395000,2011,64000,First Owner,Diesel,Manual
4645,Mercedes-Benz E-Class E,Mercedes-Benz,1350000,2012,33999,First Owner,Petrol,Manual
4647,Maruti Swift Dzire,Maruti,400000,2013,40000,First Owner,Petrol,Manual
4649,Maruti Swift ZDi,Maruti,395000,2011,53000,First Owner,Diesel,Manual
4650,Maruti Alto K10,Maruti,394000,2018,23150,First Owner,Petrol,Automatic
4651,Hyundai Xcent 1.2,Hyundai,475000,2015,46450,First Owner,Petrol,Manual
4652,Mahindra Marazzo M8,Mahindra,1375000,2018,15001,First Owner,Diesel,Manual
4653,Toyota Innova 2.5,Toyota,1200000,2015,63000,First Owner,Diesel,Manual
4655,Tata Tiago 1.2,Tata,500000,2018,32400,First Owner,Petrol,Automatic
4657,Maruti Swift ZDI,Maruti,590000,2016,61000,First Owner,Diesel,Manual
4658,Maruti Eeco 7,Maruti,321000,2014,41600,First Owner,Petrol,Manual
4659,Maruti Wagon R,Maruti,240000,2010,48300,First Owner,Petrol,Manual
4661,Maruti Swift Dzire,Maruti,745000,2019,5000,First Owner,Petrol,Manual
4662,Toyota Innova 2.5,Toyota,835000,2013,105487,First Owner,Diesel,Manual
4663,Maruti Swift VXI,Maruti,459999,2015,18056,First Owner,Petrol,Manual
4664,Toyota Innova 2.5,Toyota,480000,2009,200000,First Owner,Diesel,Manual
4665,Tata Indica V2,Tata,130000,2009,120000,First Owner,Diesel,Manual
4666,Mercedes-Benz E-Class E250,Mercedes-Benz,2475000,2016,45000,First Owner,Diesel,Automatic
4667,Toyota Corolla Altis,Toyota,434999,2011,55000,First Owner,Petrol,Manual
4668,Volkswagen Polo 1.2,Volkswagen,445000,2014,73000,First Owner,Petrol,Manual
4669,Mahindra Bolero SLE,Mahindra,250000,2008,15000,First Owner,Diesel,Manual
4670,Toyota Innova Crysta,Toyota,2190000,2019,54287,First Owner,Diesel,Manual
4672,BMW 5 Series,BMW,4650000,2018,43000,First Owner,Diesel,Automatic
4673,Mercedes-Benz C-Class C,Mercedes-Benz,1000000,2011,90000,First Owner,Diesel,Automatic
4674,BMW 5 Series,BMW,2850000,2017,46000,First Owner,Diesel,Automatic
4675,Hyundai i20 Magna,Hyundai,434999,2013,37900,First Owner,Diesel,Manual
4676,Toyota Camry 2.5,Toyota,1725000,2015,81000,First Owner,Petrol,Automatic
4677,Maruti Baleno Delta,Maruti,559000,2016,14550,First Owner,Petrol,Manual
4678,Maruti Ertiga VXI,Maruti,780000,2016,41000,First Owner,CNG,Manual
4679,Maruti Ertiga VXI,Maruti,650000,2015,78286,First Owner,CNG,Manual
4680,BMW X1 sDrive20d,BMW,1350000,2013,102007,First Owner,Diesel,Automatic
4681,Hyundai Verna VTVT,Hyundai,770000,2018,16443,First Owner,Petrol,Manual
4682,Honda City i-VTEC,Honda,1150000,2019,10000,First Owner,Petrol,Automatic
4683,Chevrolet Sail LS,Chevrolet,275000,2013,65000,First Owner,Diesel,Manual
4684,Maruti Wagon R,Maruti,298000,2013,39757,First Owner,Petrol,Manual
4685,Maruti Vitara Brezza,Maruti,1025000,2018,61000,First Owner,Diesel,Manual
4686,Mahindra XUV500 W8,Mahindra,850000,2014,85000,First Owner,Diesel,Manual
4687,Maruti Swift Dzire,Maruti,459999,2015,50000,First Owner,Petrol,Manual
4688,Maruti Eeco 5,Maruti,300000,2013,39600,First Owner,Petrol,Manual
4689,Hyundai Santro Xing,Hyundai,160000,2010,60000,First Owner,Petrol,Manual
4690,Chevrolet Beat Diesel,Chevrolet,265000,2011,40000,First Owner,Diesel,Manual
4691,Maruti Wagon R,Maruti,370000,2015,52606,First Owner,Petrol,Manual
4692,BMW 5 Series,BMW,1250000,2011,70000,First Owner,Diesel,Automatic
4693,Audi A4 2.0,Audi,1345000,2012,68370,First Owner,Diesel,Automatic
4694,Honda City i,Honda,655000,2015,70000,First Owner,Diesel,Manual
4695,Mahindra KUV 100,Mahindra,475000,2016,30000,First Owner,Diesel,Manual
4696,Hyundai Grand i10,Hyundai,415000,2015,80000,First Owner,Diesel,Manual
4697,Ford Figo Diesel,Ford,275000,2011,73320,First Owner,Diesel,Manual
4698,Toyota Innova 2.5,Toyota,350000,2006,146000,First Owner,Diesel,Manual
4699,Maruti Ertiga SHVS,Maruti,800000,2016,80000,First Owner,Diesel,Manual
4700,Maruti Swift VDI,Maruti,411000,2012,70000,First Owner,Diesel,Manual
4701,Maruti Ciaz VDi,Maruti,545000,2014,73000,First Owner,Diesel,Manual
4702,Hyundai i20 2015-2017,Hyundai,600000,2016,50000,First Owner,Diesel,Manual
4703,Hyundai Xcent 1.2,Hyundai,550000,2018,35000,First Owner,Petrol,Manual
4704,Maruti Ritz VDi,Maruti,304000,2011,60000,First Owner,Diesel,Manual
4705,Mercedes-Benz M-Class ML,Mercedes-Benz,2375000,2013,76000,First Owner,Diesel,Automatic
4706,Maruti Alto LXi,Maruti,145000,2007,17000,First Owner,Petrol,Manual
4707,Nissan Sunny Diesel,Nissan,380000,2012,68000,First Owner,Diesel,Manual
4708,Hyundai Verna Transform,Hyundai,325000,2011,50000,First Owner,Diesel,Manual
4709,Maruti Swift VDI,Maruti,525000,2014,77000,First Owner,Diesel,Manual
4710,Hyundai i10 Era,Hyundai,290000,2013,13450,First Owner,Petrol,Manual
4713,Hyundai i20 Sportz,Hyundai,350000,2013,55713,First Owner,Petrol,Manual
4714,Maruti Alto LXI,Maruti,155000,2011,49100,First Owner,Petrol,Manual
4715,Volkswagen Jetta 2.0L,Volkswagen,675000,2012,73000,First Owner,Diesel,Automatic
4716,Mahindra Xylo E8,Mahindra,500000,2012,80000,First Owner,Diesel,Manual
4717,Hyundai Xcent 1.2,Hyundai,445000,2015,24000,First Owner,Petrol,Manual
4718,BMW 7 Series,BMW,5385000,2016,56000,First Owner,Diesel,Automatic
4719,Hyundai Grand i10,Hyundai,635000,2017,18500,First Owner,Petrol,Automatic
4720,Maruti Vitara Brezza,Maruti,825000,2016,51000,First Owner,Diesel,Manual
4721,Maruti Swift Dzire,Maruti,855000,2019,20000,First Owner,Diesel,Automatic
4722,Honda Jazz 1.5,Honda,550000,2016,48000,First Owner,Diesel,Manual
4723,Skoda Rapid 1.5,Skoda,550000,2014,71000,First Owner,Diesel,Automatic
4724,Maruti Eeco 5,Maruti,465000,2019,34197,First Owner,Petrol,Manual
4725,Hyundai i20 1.2,Hyundai,580000,2016,27000,First Owner,Petrol,Manual
4726,Hyundai Xcent 1.2,Hyundai,504000,2015,70585,First Owner,Petrol,Automatic
4727,Toyota Innova Crysta,Toyota,1764999,2016,72000,First Owner,Diesel,Manual
4728,Jaguar XJ 3.0L,Jaguar,2750000,2011,54570,First Owner,Diesel,Automatic
4729,Hyundai i20 1.2,Hyundai,550000,2016,50000,First Owner,Petrol,Manual
4730,Skoda Superb 1.8,Skoda,470000,2013,49944,First Owner,Petrol,Manual
4731,Maruti Swift Dzire,Maruti,650000,2015,12000,First Owner,Petrol,Manual
4732,Datsun GO Plus,Datsun,300000,2016,30000,First Owner,Petrol,Manual
4733,Maruti Baleno Delta,Maruti,600000,2016,60000,First Owner,Petrol,Automatic
4734,Maruti Ertiga SHVS,Maruti,950000,2017,35000,First Owner,Diesel,Manual
4735,Hyundai i10 Sportz,Hyundai,395000,2015,12450,First Owner,Petrol,Manual
4736,Hyundai Grand i10,Hyundai,495000,2017,7500,First Owner,Petrol,Manual
4737,Volkswagen Ameo 1.5,Volkswagen,688000,2016,80000,First Owner,Diesel,Automatic
4738,Maruti Wagon R,Maruti,451000,2016,15680,First Owner,Petrol,Automatic
4739,Ford Ecosport 2015-2021,Ford,900000,2018,15000,First Owner,Petrol,Manual
4740,Maruti Swift Dzire,Maruti,360000,2013,208000,First Owner,Diesel,Manual
4741,Hyundai Grand i10,Hyundai,550000,2017,15000,First Owner,Petrol,Automatic
4742,Hyundai Verna 1.6,Hyundai,515000,2013,58000,First Owner,Diesel,Manual
4743,Maruti Swift Dzire,Maruti,575000,2014,70310,First Owner,Diesel,Manual
4744,Maruti Eeco CNG,Maruti,390000,2015,61000,First Owner,CNG,Manual
4745,Volkswagen Polo 2015-2019,Volkswagen,675000,2017,44000,First Owner,Diesel,Manual
4746,Mercedes-Benz E-Class 280,Mercedes-Benz,525000,2007,92000,First Owner,Diesel,Automatic
4748,Maruti Vitara Brezza,Maruti,894999,2018,17000,First Owner,Diesel,Manual
4749,Maruti Wagon R,Maruti,260000,2011,29000,First Owner,Petrol,Manual
4750,Mercedes-Benz S-Class S,Mercedes-Benz,2275000,2011,70000,First Owner,Petrol,Automatic
4751,Toyota Corolla Altis,Toyota,1150000,2016,38890,First Owner,Petrol,Automatic
4752,Tata Indica Vista,Tata,149000,2009,21000,First Owner,Petrol,Manual
4753,Toyota Innova 2.5,Toyota,1099000,2014,69000,First Owner,Diesel,Manual
4754,Maruti Wagon R,Maruti,413999,2016,36100,First Owner,CNG,Manual
4755,Maruti Swift Dzire,Maruti,730000,2017,50000,First Owner,Diesel,Manual
4756,Maruti Swift 1.3,Maruti,180000,2008,50000,First Owner,Petrol,Manual
4757,Tata Manza Aqua,Tata,265000,2011,54028,First Owner,Diesel,Manual
4758,Ford Figo Petrol,Ford,249000,2010,114231,First Owner,Petrol,Manual
4759,Tata Indigo LX,Tata,280000,2014,50000,First Owner,Diesel,Manual
4760,Maruti Ciaz ZDi,Maruti,800000,2017,44046,First Owner,Diesel,Manual
4761,Tata Indica Vista,Tata,300000,2013,50000,First Owner,Diesel,Manual
4762,Maruti Ertiga VXI,Maruti,600000,2014,72264,First Owner,CNG,Manual
4763,Renault KWID 1.0,Renault,330000,2017,15000,First Owner,Petrol,Manual
4764,Hyundai Verna 1.6,Hyundai,521000,2012,72000,First Owner,Diesel,Automatic
4765,Maruti Vitara Brezza,Maruti,800000,2018,36000,First Owner,Diesel,Manual
4766,BMW 5 Series,BMW,1250000,2011,67512,First Owner,Diesel,Automatic
4767,Tata Indica Vista,Tata,225000,2012,151350,First Owner,Diesel,Manual
4768,Skoda Rapid 1.6,Skoda,725000,2017,19000,First Owner,Petrol,Manual
4769,BMW X3 xDrive,BMW,3400000,2016,35000,First Owner,Diesel,Automatic
4770,Maruti Alto 800,Maruti,281000,2014,28000,First Owner,CNG,Manual
4771,BMW 5 Series,BMW,1550000,2013,48000,First Owner,Diesel,Automatic
4772,Volkswagen Polo 2015-2019,Volkswagen,635000,2018,17000,First Owner,Petrol,Manual
4773,Mercedes-Benz E-Class E,Mercedes-Benz,1475000,2014,54000,First Owner,Diesel,Automatic
4774,Mahindra Thar 4X4,Mahindra,500000,2013,60000,First Owner,Diesel,Manual
4775,Mercedes-Benz GLE Class,Mercedes-Benz,3750000,2016,46500,First Owner,Diesel,Automatic
4776,Honda Jazz 1.2,Honda,695000,2017,20000,First Owner,Petrol,Automatic
4777,Honda City 1.5,Honda,365000,2011,60000,First Owner,Petrol,Manual
4778,Renault KWID RXT,Renault,350000,2018,50000,First Owner,Petrol,Manual
4779,Maruti Swift VDI,Maruti,635000,2017,64874,First Owner,Diesel,Manual
4780,Maruti Ertiga BSIV,Maruti,750000,2016,19000,First Owner,Petrol,Manual
4781,Maruti Ritz VDi,Maruti,280000,2012,80000,First Owner,Diesel,Manual
4782,Maruti SX4 ZDI,Maruti,335000,2011,70035,First Owner,Diesel,Manual
4783,Renault KWID RXL,Renault,350000,2018,45000,First Owner,Petrol,Manual
4784,Honda City i,Honda,600000,2014,70000,First Owner,Diesel,Manual
4785,Hyundai i20 Active,Hyundai,695000,2016,64000,First Owner,Diesel,Manual
4786,Volkswagen Polo 1.2,Volkswagen,421000,2013,55322,First Owner,Petrol,Manual
4787,Maruti Swift Dzire,Maruti,741000,2018,19000,First Owner,Petrol,Manual
4788,Skoda Rapid 1.6,Skoda,484999,2015,47000,First Owner,Petrol,Manual
4789,Honda City 1.5,Honda,220000,2007,77433,First Owner,Petrol,Manual
4790,Mahindra TUV 300,Mahindra,810000,2018,13000,First Owner,Diesel,Manual
4791,Hyundai i20 1.2,Hyundai,675000,2018,16285,First Owner,Petrol,Manual
4792,Tata Safari 2005-2017,Tata,290000,2012,110000,First Owner,Diesel,Manual
4793,Ford Ecosport 1.5,Ford,580000,2014,72569,First Owner,Diesel,Manual
4795,Maruti Ertiga VDI,Maruti,500000,2014,55000,First Owner,Diesel,Manual
4796,Tata Manza ELAN,Tata,300000,2012,101991,First Owner,Diesel,Manual
4797,Maruti Ciaz 1.4,Maruti,800000,2018,35000,First Owner,Petrol,Manual
4798,Tata Zest Quadrajet,Tata,500000,2015,110000,First Owner,Diesel,Manual
4799,Renault KWID RXT,Renault,375000,2017,20000,First Owner,Petrol,Manual
4800,Hyundai i20 1.2,Hyundai,600000,2017,43000,First Owner,Petrol,Manual
4801,Toyota Fortuner 3.0,Toyota,1000000,2010,85000,First Owner,Diesel,Manual
4802,Maruti Swift VDI,Maruti,500000,2016,40000,First Owner,Diesel,Manual
4803,Volkswagen Vento Diesel,Volkswagen,349000,2011,70000,First Owner,Diesel,Manual
4804,Datsun GO Plus,Datsun,421000,2017,40000,First Owner,Petrol,Manual
4805,Maruti Alto K10,Maruti,350000,2015,30000,First Owner,Petrol,Manual
4806,Skoda Superb Elegance,Skoda,1275000,2015,68000,First Owner,Diesel,Automatic
4807,Honda Amaze S,Honda,450000,2015,47745,First Owner,Diesel,Manual
4808,Maruti Eeco CNG,Maruti,395000,2017,76000,First Owner,CNG,Manual
4809,BMW 3 Series,BMW,2250000,2015,38000,First Owner,Diesel,Automatic
4811,Hyundai i10 Era,Hyundai,270000,2011,76000,First Owner,Petrol,Manual
4813,Maruti Swift Dzire,Maruti,484999,2012,56200,First Owner,Diesel,Manual
4814,Maruti Swift Dzire,Maruti,565000,2014,89000,First Owner,Diesel,Manual
4815,Chevrolet Enjoy TCDi,Chevrolet,355000,2014,73000,First Owner,Diesel,Manual
4816,Maruti Swift LXi,Maruti,145000,2006,127000,First Owner,Petrol,Manual
4817,Maruti Ertiga SHVS,Maruti,925000,2017,49000,First Owner,Diesel,Manual
4818,Chevrolet Beat LS,Chevrolet,220000,2015,73000,First Owner,Petrol,Manual
4819,Mahindra Renault Logan,Mahindra,125000,2009,57000,First Owner,Petrol,Manual
4820,Fiat Grande Punto,Fiat,135000,2009,76000,First Owner,Petrol,Manual
4821,Toyota Corolla Altis,Toyota,296000,2009,91000,First Owner,Petrol,Manual
4822,Maruti Wagon R,Maruti,370000,2014,35000,First Owner,Petrol,Manual
4823,Audi Q3 35,Audi,2450000,2017,63000,First Owner,Diesel,Automatic
4824,Maruti Swift LXI,Maruti,425000,2015,50000,First Owner,Petrol,Manual
4825,Maruti Swift Dzire,Maruti,825000,2018,40000,First Owner,Diesel,Automatic
4826,Maruti Alto 800,Maruti,275000,2014,48828,First Owner,Petrol,Manual
4827,Toyota Etios VD,Toyota,590000,2015,72000,First Owner,Diesel,Manual
4828,Maruti Swift LDI,Maruti,465000,2014,87600,First Owner,Diesel,Manual
4829,Maruti Swift VDI,Maruti,590000,2016,82722,First Owner,Diesel,Manual
4831,BMW 3 Series,BMW,1050000,2012,76728,First Owner,Diesel,Automatic
4832,Ford Figo Petrol,Ford,275000,2010,35000,First Owner,Petrol,Manual
4833,Hyundai Verna 1.4,Hyundai,484999,2012,100000,First Owner,Diesel,Manual
4834,Mahindra Verito 1.5,Mahindra,250000,2012,58000,First Owner,Diesel,Manual
4835,Renault KWID 1.0,Renault,459999,2019,27000,First Owner,Petrol,Automatic
4836,Datsun GO A,Datsun,250000,2015,20000,First Owner,Petrol,Manual
4837,Chevrolet Beat Diesel,Chevrolet,155000,2012,110000,First Owner,Diesel,Manual
4838,Maruti Wagon R,Maruti,340000,2014,56795,First Owner,CNG,Manual
4840,Mahindra Bolero B6,Mahindra,600000,2020,10000,First Owner,Diesel,Manual
4841,Mercedes-Benz M-Class ML,Mercedes-Benz,2950000,2015,50000,First Owner,Diesel,Automatic
4842,Maruti Vitara Brezza,Maruti,900000,2017,62428,First Owner,Diesel,Manual
4843,Mahindra Scorpio LX,Mahindra,390000,2008,71000,First Owner,Diesel,Manual
4844,Honda City i,Honda,675000,2014,45000,First Owner,Diesel,Manual
4845,Tata Indigo LX,Tata,250000,2014,140000,First Owner,Diesel,Manual
4846,Maruti SX4 ZXI,Maruti,350000,2011,75000,First Owner,Petrol,Manual
4847,Mahindra XUV500 W6,Mahindra,690000,2012,82000,First Owner,Diesel,Manual
4848,Tata Tiago 1.2,Tata,465000,2017,32000,First Owner,Petrol,Manual
4849,Hyundai i20 1.2,Hyundai,630000,2017,40000,First Owner,Petrol,Manual
4852,Maruti Alto LXi,Maruti,150000,2008,60000,First Owner,Petrol,Manual
4853,Maruti Swift VXI,Maruti,500000,2015,18914,First Owner,Petrol,Manual
4854,Volkswagen Polo Diesel,Volkswagen,380000,2013,49000,First Owner,Diesel,Manual
4855,Honda Amaze S,Honda,575000,2018,41000,First Owner,Petrol,Automatic
4856,Skoda Rapid 1.5,Skoda,611000,2016,74601,First Owner,Diesel,Manual
4857,Toyota Corolla Altis,Toyota,825000,2016,106739,First Owner,Petrol,Automatic
4858,Honda Amaze S,Honda,501000,2015,148000,First Owner,Diesel,Manual
4859,Hyundai Verna 1.6,Hyundai,760000,2016,61000,First Owner,Diesel,Automatic
4860,Maruti Swift Dzire,Maruti,300000,2010,50000,First Owner,Diesel,Manual
4861,Renault KWID 1.0,Renault,315000,2015,60000,First Owner,Petrol,Manual
4862,Tata Safari Storme,Tata,600000,2014,80000,First Owner,Diesel,Manual
4863,Honda BRV i-VTEC,Honda,1250000,2018,16000,First Owner,Petrol,Automatic
4864,Jaguar XF 3.0,Jaguar,2790000,2015,25000,First Owner,Diesel,Automatic
4865,Maruti Ritz LXi,Maruti,290000,2012,63000,First Owner,Petrol,Manual
4866,Maruti Celerio ZXI,Maruti,459999,2016,36836,First Owner,Petrol,Automatic
4867,Hyundai Verna SX,Hyundai,665000,2016,7000,First Owner,Petrol,Manual
4868,BMW 6 Series,BMW,4100000,2013,30000,First Owner,Diesel,Automatic
4869,Hyundai i10 Magna,Hyundai,200000,2011,60000,First Owner,Petrol,Manual
4870,Maruti Swift AMT,Maruti,770000,2018,35000,First Owner,Diesel,Automatic
4871,Maruti Alto LXi,Maruti,170000,2011,20000,First Owner,Petrol,Manual
4872,Maruti Alto K10,Maruti,200000,2012,33700,First Owner,Petrol,Manual
4873,Hyundai i20 Asta,Hyundai,275000,2009,96000,First Owner,Petrol,Manual
4874,Maruti Baleno Alpha,Maruti,710000,2018,4933,First Owner,Petrol,Manual
4875,Audi A4 2.0,Audi,1500000,2012,52000,First Owner,Diesel,Automatic
4877,BMW 7 Series,BMW,3900000,2015,60000,First Owner,Diesel,Automatic
4878,Mahindra KUV 100,Mahindra,450000,2016,87000,First Owner,Diesel,Manual
4879,Hyundai i20 Magna,Hyundai,390000,2013,75518,First Owner,Petrol,Manual
4880,Nissan Sunny XL,Nissan,375000,2013,38000,First Owner,Petrol,Automatic
4881,Maruti Baleno Delta,Maruti,565000,2017,13355,First Owner,Petrol,Manual
4882,Honda Brio S,Honda,300000,2013,45000,First Owner,Petrol,Manual
4883,Hyundai Santro Xing,Hyundai,125000,2007,88571,First Owner,Petrol,Manual
4884,Maruti Ciaz VXi,Maruti,575000,2015,49000,First Owner,Petrol,Manual
